Angle_deg,RET_eV,Displaced,DamageEnergy_eV,Cumulative_Damage_eV,LargeAngle
48.7426,78343015.18444298,True,78343015.18444298,3713108915.3813615,True
156.376,440808592.4463315,True,440808592.4463315,4153917507.827693,True
26.9322,24949822.34170852,True,24949822.34170852,4178867330.1694016,True
0.0,0.0,False,0.0,4178867330.1694016,False
0.0417978,61.21275513975209,True,61.21275513975209,4178867391.382157,False
0.0690828,167.21487558989705,True,167.21487558989705,4178867558.5970325,False
0.0170481,10.183265442766004,False,0.0,4178867558.5970325,False
35.9448,43804254.90573521,True,43804254.90573521,4222671813.5027676,True
35.2613,42206645.173023015,True,42206645.173023015,4264878458.675791,True
13.463,6321492.966185696,True,6321492.966185696,4271199951.6419764,True
6.34503,1409154.3801473305,True,1409154.3801473305,4272609106.022124,True
37.9586,48664503.31317399,True,48664503.31317399,4321273609.335298,True
12.7829,5701533.859593755,True,5701533.859593755,4326975143.194891,True
25.0039,21559922.193573855,True,21559922.193573855,4348535065.388465,True
7.64183,2043082.6974433772,True,2043082.6974433772,4350578148.085908,True
17.4825,10626006.068316234,True,10626006.068316234,4361204154.154224,True
39.697,53040487.73937941,True,53040487.73937941,4414244641.893604,True
0.0734092,188.81479543047155,True,188.81479543047155,4414244830.7084,False
0.0482747,81.65339389824035,True,81.65339389824035,4414244912.3617935,False
0.023601,19.51622889028391,False,0.0,4414244912.3617935,False
0.0969143,329.0869967316808,True,329.0869967316808,4414245241.448791,False
0.0181826,11.58369369932569,False,0.0,4414245241.448791,False
0.115965,471.1821350291234,True,471.1821350291234,4414245712.630925,False
0.0766808,206.01948861771348,True,206.01948861771348,4414245918.6504135,False
0.0650658,148.33396322740978,True,148.33396322740978,4414246066.984377,False
0.0999299,349.88545979249903,True,349.88545979249903,4414246416.869837,False
0.154851,840.1616687849545,True,840.1616687849545,4414247257.031506,False
0.0413406,59.88094307380599,True,59.88094307380599,4414247316.912449,False
0.0296391,30.779751816076136,True,30.779751816076136,4414247347.692201,False
0.0477987,80.05108899511022,True,80.05108899511022,4414247427.74329,False
27.1875,25416131.71799953,True,25416131.71799953,4439663559.461289,True
6.65969,1552223.0214805722,True,1552223.0214805722,4441215782.48277,True
11.8916,4936920.70433666,True,4936920.70433666,4446152703.187107,True
21.9838,16726538.987107042,True,16726538.987107042,4462879242.174214,True
11.1601,4350085.200301012,True,4350085.200301012,4467229327.374516,True
0.051338,92.34490982617146,True,92.34490982617146,4467229419.719425,False
0.0377771,50.002568693582226,True,50.002568693582226,4467229469.721993,False
0.0520151,94.79685842549598,True,94.79685842549598,4467229564.518852,False
0.0615106,132.56686447112895,True,132.56686447112895,4467229697.085716,False
0.0370896,48.19915043851237,True,48.19915043851237,4467229745.284866,False
0.0433553,65.85965782624474,True,65.85965782624474,4467229811.144525,False
0.0689561,166.60208357286567,True,166.60208357286567,4467229977.746608,False
0.0375293,49.348733554933155,True,49.348733554933155,4467230027.095342,False
0.084365,249.37886417420785,True,249.37886417420785,4467230276.474206,False
0.0698321,170.8619074406884,True,170.8619074406884,4467230447.336113,False
0.0673851,159.0972978977887,True,159.0972978977887,4467230606.433411,False
0.0212422,15.810080504515737,False,0.0,4467230606.433411,False
0.00627245,1.378508711734246,False,0.0,4467230606.433411,False
0.0655322,150.4681384484138,True,150.4681384484138,4467230756.901549,False
0.0540266,102.27049122106311,True,102.27049122106311,4467230859.172041,False
0.0568852,113.37926631995796,True,113.37926631995796,4467230972.551308,False
0.125465,551.5439278833202,True,551.5439278833202,4467231524.095236,False
0.00300491,0.31637199797378146,False,0.0,4467231524.095236,False
0.0483982,82.07171209063978,True,82.07171209063978,4467231606.166948,False
0.0329991,38.153929945988224,True,38.153929945988224,4467231644.320878,False
0.0159178,8.877714695091374,False,0.0,4467231644.320878,False
0.0589129,121.60624098986499,True,121.60624098986499,4467231765.927119,False
0.0337769,39.97372891248391,True,39.97372891248391,4467231805.900848,False
0.0172238,10.394247263698398,False,0.0,4467231805.900848,False
0.0670822,157.67020922953284,True,157.67020922953284,4467231963.571057,False
0.0580766,118.17821579239312,True,118.17821579239312,4467232081.749273,False
0.0731817,187.6463097540252,True,187.6463097540252,4467232269.395583,False
0.0506649,89.93928912862717,True,89.93928912862717,4467232359.334872,False
0.0746225,195.1077979082207,True,195.1077979082207,4467232554.44267,False
0.0469755,77.31751686029895,True,77.31751686029895,4467232631.760187,False
0.0602572,127.21928598282913,True,127.21928598282913,4467232758.979473,False
0.0294032,30.29174455027736,True,30.29174455027736,4467232789.271217,False
0.0617229,133.48353610615945,True,133.48353610615945,4467232922.754753,False
0.0317414,35.301019190357586,True,35.301019190357586,4467232958.055772,False
0.041883,61.46255976711505,True,61.46255976711505,4467233019.518332,False
0.0591022,122.38899124030475,True,122.38899124030475,4467233141.907323,False
0.0916127,294.0670551275569,True,294.0670551275569,4467233435.974378,False
0.0422379,62.508591766128454,True,62.508591766128454,4467233498.482969,False
0.05442,103.76529893624375,True,103.76529893624375,4467233602.248268,False
0.00439131,0.6756523515515114,False,0.0,4467233602.248268,False
0.0487426,83.2439070941409,True,83.2439070941409,4467233685.492175,False
