Energy_keV,Angle_deg
126.314,9.91133
163.503,93.0552
47.8454,41.8649
123.219,96.6869
58.177,43.8218
104.911,115.847
67.0526,0
753.863,0.0834555
723.926,0.0401058
682.772,0.249755
928.487,0.0484052
1230.56,0.0568107
862.209,0.0313555
733.876,0.0198009
1042.43,0.0201
749.943,0.0759775
46.8647,0.0454435
726.646,0.054088
794.142,7.33176
1164.82,0.0550057
796.565,0.0843582
661.019,0.0540563
315.437,0.0122528
684.032,0.0280789
881.263,14.271
244.363,17.3413
778.664,0.053087
691.929,0.0442673
744.161,0.0462056
684.402,0.0760043
710.352,0.0899896
833.129,0.0957395
199.576,0.0421145
417.562,0.0498234
151.088,84.059
239.693,68.5993
281.532,34.8345
138.596,64.0207
64.9153,103.863
88.1315,18.5853
76.9683,38.0507
44.689,73.9604
80.6233,43.1294
127.227,151.684
131.429,0
1264.31,0.139189
765.454,0.0574861
1452,0.0560925
166.769,0.009191
9695.13,0
7462.67,0
2329.6,4.14425
4031.37,0.0850071
4324.92,12.0471
4132.93,6.28127
61.1101,94.7729
2946.18,3.19473
727.076,0.0746033
793.058,0.068939
777.456,0.0398035
772.923,0.106415
1184.67,0.0617876
952.476,0.0573054
805.365,0.0784312
664.242,0.0688232
806.926,0.0513417
686.138,0.0722332
886.019,0.139975
832.517,0.0783628
875.28,0.0631017
681.358,0.0547202
699.474,0.023247
785.123,0.0320587
748.933,0.185409
821.024,0.10944
971.365,0.138217
770.844,0.0736203
782.11,0.0628714
861.032,0.0236853
793.526,0.0329453
1022.98,0.0661887
689.361,0.0479344
684.162,0.0347507
612.205,0.0539933
762.126,0.100032
674.024,0.0669222
789.465,0.0287985
659.439,0.0828781
753.996,0.0779194
654.07,0.0357773
775.524,0.114011
689.473,0.115279
708.603,0.0600404
761.681,0.0392036
757.532,0.143613
795.102,0.0867716
717.404,0.054143
227.897,0.0197346
476.081,0.0645298
142.679,29.2333
649.061,0
684.35,0.0152304
729.984,0.0297149
683.764,0.0858719
774.114,0.0457597
678.916,0.0678885
676.593,0.0986476
650.807,0.0566098
834.762,0.0327527
748.191,0.010302
744.777,0.00644174
793.11,0.111421
787.835,0.054074
912.739,0.109824
1028.42,0.0189444
1075.95,0.10277
729.281,0.0703251
898.442,0.0376908
1091.95,0.0226876
697.896,0.119875
745.916,0.00923994
733.079,0.0696678
708.88,0.0732767
843.827,0.0506996
789.642,0.0346404
795.326,0.224257
806.117,0.0546989
639.407,0.0653922
23.6108,0.00955128
41.7908,13.8367
4.50256,7.01282
680.723,0.043923
705.293,0.0371063
898.245,0.0822478
851.995,0.0335444
685.001,0.0901792
683.966,0.0312355
881.105,0.100381
695.962,0.0346955
638.861,0.09278
794.24,0.0658706
748.458,0.0659682
823.511,0.056938
732.195,0.0376149
819.359,0.0538886
692.429,0.0764844
784.942,0.0835709
902.579,0.221319
739.315,0.0917844
60.6924,0.0232636
606.053,0.0773067
44.5261,10.6143
68.5291,20.703
105.802,11.3486
177.574,42.733
139.861,50.5295
158.597,18.7967
40.7739,35.4977
51.3662,54.1197
0.0674653,4.61543
711.707,0.0319135
851.486,0.104799
736.924,0.0263734
707.141,0.06664
1105.16,0.0993255
698.545,0.0221771
766.024,0.118953
703.65,0.0647847
769.185,0.098841
726.363,0.0133916
890.917,0.026361
766.946,0.00955547
970.644,0.0848534
676.558,0.127589
930.243,0.0230209
0.0170802,42.4271
0.0180981,57.0069
0.211804,36.5355
0.0292356,40.6206
0.179893,32.8347
0.0863339,82.4515
1.0916,46.6153
786.889,0.114904
946.157,0.0257871
848.037,0.04796
643.338,0.0381707
812.436,0.0305087
1368.24,0.0818636
642.502,0.0622474
823.023,0.0221066
839.281,0.035741
1299.55,0.0222742
640.021,0.0937888
688.617,0.06255
881.601,0.0819413
650.111,0.073331
1239.29,0.206713
494.103,0.0829659
525.14,0.0796547
188.301,28.2378
129.697,9.50442
150.912,35.5325
49.4548,67.4604
47.9749,21.6656
22.4754,18.4964
690.786,0.153508
