Energy_keV,Angle_deg
1303.83,0.0251627
637.307,0.0184003
749.456,0.125786
666.596,0.0822789
827.568,0.0606797
646.376,0.102676
804.525,0.104145
761.359,0.103012
851.483,0.0770385
700.179,0.0361175
845.083,0.0667959
712.883,0.030161
692.299,0.0573581
851.924,0.0475366
741.56,0.083683
733.125,0.0862717
767.134,0.0804881
679.921,0.0664206
750.65,0.0118106
997.646,0.0899606
848.507,0.102904
933.857,0.0901776
705.461,0.0725336
751.795,0.0967782
821.846,0.0640341
700.247,0.125378
715.917,0.0860199
746.769,0.0488969
841.354,0.0203163
818.372,0.0200153
682.618,0.0642295
523.931,0.134748
338.797,0.0509463
341.08,3.9884
763.095,0.116821
1067.69,0.122175
701.588,0.0988627
693.504,0.0624268
590.356,0.107159
276.252,0.0576015
579.338,0.0136167
241.584,63.3618
183.77,74.9861
88.7241,29.4641
68.3144,21.8561
94.8222,23.6667
3.48873,7.43039
646.263,0.025599
1182.83,0.046681
712.345,0.0816279
747.257,0.0256863
817.409,0.0241816
745.937,0.319062
723.596,0.0704022
620.204,0.0331402
728.573,0.063416
826.82,0.0418146
676.273,0.0635095
865.099,0.0549618
759.427,0.110134
957.427,0.0857298
168.19,0.0428805
690.133,0.0451244
61.6879,37.0073
90.3761,48.161
124.24,76.6629
106.445,34.6183
53.3706,14.8428
53.159,30.5201
36.6329,9.98669
10.371,0
9.53141,0
1024.49,0.126578
1039.34,0.0919398
701.091,0.15871
654.687,0.212726
789.008,0.048872
673.673,0.0572666
647.465,0.0195485
688.029,0.0425177
948.458,0.0673994
661.224,0.0218743
807.177,0.0737016
659.305,0.0244689
667.835,0.112555
853.539,0.0758588
750.614,0.0883171
725.17,0.0416433
793.982,0.0370379
721.75,0.0908821
667.032,0.0642965
703.35,0.0999463
726.899,0.0751576
695.521,0.0994292
819.832,0.0677491
671.535,0.0503514
729.382,0.0795268
702.276,0.0473572
483.168,0.12528
192.499,0.013381
143.633,20.0482
48.9806,13.3624
90.8029,23.1475
17.6323,13.1868
805.574,0.0689614
671.185,0.071189
659.504,0.0447271
711.792,0.102256
442.109,0.0234728
244.415,0.0247126
145.494,101.717
131.411,35.0982
