Energy_keV,Angle_deg
1004.79,0.0783045
752.881,0.0412847
595.375,0.246478
195.035,0.0794146
814.751,0.0932512
787.319,0.154801
783.947,0.0736093
757.791,0.096868
842.093,0.11485
820.366,0.0616444
47.3781,0.00612089
604.352,0.055154
92.7865,0.0243124
46.9553,27.8667
45.2611,15.1336
883.318,0.0747375
246.29,0.0559203
456.901,0.0343471
830.879,0.118868
675.031,0.0234691
35.4206,0.00943229
801.041,0.0651368
1339.9,0.11767
839.905,0.0535027
340.012,0.013465
535.298,0.0662406
638.622,0.0952322
1075.6,0.0826353
265.016,0.00673732
584.093,0.0290033
202.918,0.0597218
530.817,0.0551277
679.33,0.0969531
868.444,0.0510056
864.308,0.100072
693.671,0.0752976
832.363,0.0718608
832.932,0.0172974
627.793,0.00841189
96.5792,0.0107358
504.511,0.112767
70.7735,0.0191009
187.062,0.00903437
136.223,0.0381295
645.743,0.00872594
708.603,0.0668602
863.16,0.0763095
1156.97,0.0736371
792.691,0.0741956
747.494,0.0363519
173.788,0.0460117
612.895,0.048735
594.512,0.0645319
1299.24,0.0618771
668.068,0.0535585
10.3047,0.0150877
550.417,0.0303895
55.993,0.0331953
690.43,0.0261195
772.591,0.0871976
316.657,0.161441
498.061,0.365082
639.295,0.0234184
580.576,0.0329475
249.454,0.00194212
837.841,0.0218638
83.1947,0.0127984
7.90383,0.0377918
992.993,0.126662
214.357,24.8244
230.643,41.7964
218.455,32.4094
154.454,28.7434
211.03,24.3849
131.256,7.95254
216.17,15.6822
208.553,8.84663
133.866,3.96654
217.237,33.0851
87.8004,32.8191
10.371,0
6.07072,0
10.371,0
31.8427,0
1119.4,0.165603
774.997,0.121522
80.4418,0.0248651
680.038,0.0384738
82.0891,0.0270225
148.173,0.0524409
146.789,0.0150907
598.117,0.0138478
113.183,56.8496
153.395,41.4159
177.933,68.0646
142.302,59.5661
118.681,24.0932
52.8135,8.52453
57.8025,48.903
44.6644,67.939
733.642,0.0816124
644.382,0.112644
714.956,0.0880921
700.059,0.0104164
539.932,0.0457688
733.501,0.128888
1267.63,0.0315283
90.3711,0.00851944
892.822,0.0144991
122.081,0.0705149
538.664,0.131611
942.72,0.103159
897.596,0.114694
440.882,0.0180431
227.431,0.090774
1047.08,0.0990877
328.969,0.0592663
375.023,0.0436398
823.663,0.00783059
231.33,0.0191823
696.721,0.0704935
761.069,0.102651
668.339,0.0786635
569.766,0.0229143
407.977,0.049496
99.7028,0.0397583
473.675,0.0262822
175.536,0.0362476
79.3268,37.5472
146.016,21.2316
614.234,32.1919
568.767,0
10.371,0
44.5495,0
264.671,0.0231037
477.181,0.0122088
701.709,0.0706333
740.549,0.16045
815.364,0.125888
760.056,0.0555438
687.299,0.0184101
797.029,0.0456692
83.4362,0.013678
861.462,0.0595778
535.294,0.0342422
309.841,0.0848087
139.248,0.0117342
737.493,0.0581233
937.86,0.0581702
240.754,0.04111
615.208,0.051582
125.04,0.057533
764.193,0.0220729
649.956,0.0266696
98.9052,0.0063101
822.385,0.0476693
1338.49,0.0602985
1169.33,0.0624801
729.98,0.0497132
150.065,0.032817
556.711,0.0746717
749.387,0.101488
576.268,0.124567
198.544,0.0746789
952.659,0.0800083
793.833,0.0843038
968.758,0.0281066
762.114,0.118914
767.197,0.145406
725.154,0.0867962
699.449,0.087072
1119.09,0.183408
432.147,0.00628253
272.537,0.0817437
224.819,0.0195936
586.262,0.0233118
44.0161,0.738343
118.335,56.1897
201.641,41.5764
171.424,50.7686
604.111,0
28.1953,0
251.998,0.0238199
617.759,0.0625824
696.339,0.178178
832.547,0.0694023
212.676,0.0412086
560.6,0.109494
10.371,0
54.0627,0
281.431,0.0326099
310.077,0.01441
184.548,0.0122852
782.684,0.0983015
515.336,0.0659826
